time_identifier,time_period,geographic_level,country_name,country_code,SUBLEVNO,SUBJ,ASIZE,PRIOR_BAND,GRADE,COUNT,grade_concat
Academic year,201819,National,England,E92000001,253,10002,0.5,2-<3,D,1,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,2-<3,P,2,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,2-<3,U,2,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,3-<4,M,24,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,3-<4,P,45,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,3-<4,U,79,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,4-<5,D,4,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,4-<5,M,50,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,4-<5,P,49,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,4-<5,U,30,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,5-<6,D,8,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,5-<6,M,22,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,5-<6,P,10,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,5-<6,U,4,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,6-<7,*,2,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,6-<7,D,7,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,6-<7,M,7,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,6-<7,U,1,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,2-<3,D,1,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,2-<3,P,1,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,2-<3,U,1,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,*,1,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,D,23,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,M,99,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,P,62,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,U,10,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,*,8,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,D,125,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,M,231,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,P,55,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,U,14,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,5-<6,*,25,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,5-<6,D,121,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,5-<6,M,82,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,5-<6,P,6,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,6-<7,*,25,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,6-<7,D,31,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,6-<7,M,8,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,7-<8,*,6,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,7-<8,D,4,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,7-<8,M,1,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,1-<2,D,1,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,2-<3,B,2,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,2-<3,C,5,U_E_D_C_B_A_*_P_M_*A
